   0.0 TEL | Telepresence 0.88 launched at Tue May 29 07:46:50 2018
   0.0 TEL |   /usr/local/bin/telepresence --namespace cesar --mount=/tmp/known --swap-deployment party-service --docker-run --rm -v=/tmp/known/var/run/secrets:/var/run/secrets -v/Users/cesartron-lozai/repos/java/gr8tparties/party-service:/build -v /Users/cesartron-lozai/.m2/repository:/m2 -v /Users/cesartron-lozai/jrebel-nightly:/jrebel -v /Users/cesartron-lozai/jrebel-nightly/jrebel.jar:/jrebel.jar -v /Users/cesartron-lozai/.jrebel:/root/.jrebel -p 8080:8080 -p 5005:5005 -e MAVEN_OPTS=-agentpath:/jrebel/lib/libjrebel64.so 738398925563.dkr.ecr.eu-west-2.amazonaws.com/maven-build:jdk10 mvn -Dmaven.repo.local=/m2 -f /build spring-boot:run
   0.2 TEL | Context: k8s-dev.engineering.convendia.com, namespace: cesar, kubectl_command: kubectl
   0.2 TEL | [1] Launching: kubectl version --short
   0.2 TEL | [2] Launching: oc version
   0.2 TEL | [2] [Errno 2] No such file or directory: 'oc': 'oc'
   0.2 TEL | [3] Launching: uname -a
   0.2 TEL | Python 3.6.5 (default, Mar 30 2018, 06:41:53)
   0.2 TEL | [GCC 4.2.1 Compatible Apple LLVM 9.0.0 (clang-900.0.39.2)]
   0.3 TEL | [4] Capturing: kubectl --context k8s-dev.engineering.convendia.com --namespace cesar get pods telepresence-connectivity-check --ignore-not-found
   0.3   3 | Darwin Cesars-MBP.home 17.5.0 Darwin Kernel Version 17.5.0: Mon Mar  5 22:24:32 PST 2018; root:xnu-4570.51.1~1/RELEASE_X86_64 x86_64
   0.3 TEL | [3] exit 0
   0.4   1 | Client Version: v1.10.1
   0.4   1 | Server Version: v1.10.2
   0.4 TEL | [1] exit 0
   0.4 TEL | [5] Capturing: ssh -V
   0.4 TEL | [6] Capturing: which torsocks
   0.4 TEL | [7] Capturing: which sshfs
   0.4 TEL | BEGIN SPAN main.py:51(main)
   1.2 TEL | Scout info: {'latest_version': '0.88', 'application': 'telepresence', 'notices': []}
   1.2 TEL | BEGIN SPAN proxy.py:150(start_proxy)
   1.2 TEL | BEGIN SPAN deployment.py:92(supplant_deployment)
   1.2 TEL | BEGIN SPAN remote.py:82(get_deployment_json)
   1.2 TEL | [8] Capturing: kubectl --context k8s-dev.engineering.convendia.com --namespace cesar get deployment -o json --export party-service
   1.3 TEL | END SPAN remote.py:82(get_deployment_json)    0.1s
   1.3 TEL | [9] Running: kubectl --context k8s-dev.engineering.convendia.com --namespace cesar delete deployment party-service-252b0655-1877-44dd-934e-b16e95ac5266 --ignore-not-found
   1.4 TEL | [10] Running: kubectl --context k8s-dev.engineering.convendia.com --namespace cesar apply -f -
   1.6  10 | deployment.extensions "party-service-252b0655-1877-44dd-934e-b16e95ac5266" created
   1.6 TEL | [11] Running: kubectl --context k8s-dev.engineering.convendia.com --namespace cesar scale deployment party-service --replicas=0
   1.8  11 | deployment.extensions "party-service" scaled
   1.8 TEL | END SPAN deployment.py:92(supplant_deployment)    0.6s
   1.8 TEL | BEGIN SPAN remote.py:164(get_remote_info)
   1.8 TEL | BEGIN SPAN remote.py:82(get_deployment_json)
   1.8 TEL | [12] Capturing: kubectl --context k8s-dev.engineering.convendia.com --namespace cesar get deployment -o json --export --selector=telepresence=252b0655-1877-44dd-934e-b16e95ac5266
   1.9 TEL | END SPAN remote.py:82(get_deployment_json)    0.1s
   1.9 TEL | Searching for Telepresence pod:
   1.9 TEL |   with name party-service-252b0655-1877-44dd-934e-b16e95ac5266-*
   1.9 TEL |   with labels {'app': 'party-service', 'telepresence': '252b0655-1877-44dd-934e-b16e95ac5266'}
   1.9 TEL |   with namespace cesar
   1.9 TEL | [13] Capturing: kubectl --context k8s-dev.engineering.convendia.com --namespace cesar get pod -o json --export --selector=telepresence=252b0655-1877-44dd-934e-b16e95ac5266
   2.0 TEL | Checking party-service-252b0655-1877-44dd-934e-b16e95ac5266-667b774xtm8j
   2.0 TEL | Looks like we've found our pod!
   2.0 TEL | BEGIN SPAN remote.py:122(wait_for_pod)
   2.0 TEL | [14] Capturing: kubectl --context k8s-dev.engineering.convendia.com --namespace cesar get pod party-service-252b0655-1877-44dd-934e-b16e95ac5266-667b774xtm8j -o json
   2.4 TEL | [15] Capturing: kubectl --context k8s-dev.engineering.convendia.com --namespace cesar get pod party-service-252b0655-1877-44dd-934e-b16e95ac5266-667b774xtm8j -o json
   2.8 TEL | [16] Capturing: kubectl --context k8s-dev.engineering.convendia.com --namespace cesar get pod party-service-252b0655-1877-44dd-934e-b16e95ac5266-667b774xtm8j -o json
   3.1 TEL | [17] Capturing: kubectl --context k8s-dev.engineering.convendia.com --namespace cesar get pod party-service-252b0655-1877-44dd-934e-b16e95ac5266-667b774xtm8j -o json
   3.6 TEL | [18] Capturing: kubectl --context k8s-dev.engineering.convendia.com --namespace cesar get pod party-service-252b0655-1877-44dd-934e-b16e95ac5266-667b774xtm8j -o json
   3.8 TEL | END SPAN remote.py:122(wait_for_pod)    1.8s
   3.8 TEL | END SPAN remote.py:164(get_remote_info)    2.1s
   3.8 TEL | END SPAN proxy.py:150(start_proxy)    2.7s
   3.8 TEL | BEGIN SPAN proxy.py:42(connect)
   3.8 TEL | [19] Launching: kubectl --context k8s-dev.engineering.convendia.com --namespace cesar logs -f party-service-252b0655-1877-44dd-934e-b16e95ac5266-667b774xtm8j --container party-service
   3.8 TEL | [20] Launching: kubectl --context k8s-dev.engineering.convendia.com --namespace cesar port-forward party-service-252b0655-1877-44dd-934e-b16e95ac5266-667b774xtm8j 49184:8022
   3.9 TEL | [21] Running: sudo ifconfig lo0 alias 198.18.0.254
   3.9 TEL | [22] Launching: socat TCP4-LISTEN:49184,bind=198.18.0.254,reuseaddr,fork TCP4:127.0.0.1:49184
   3.9 TEL | [23] Running: ssh -F /dev/null -q -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -p 49184 telepresence@localhost /bin/true
   3.9 TEL | [23] exit 255 in 0.02 secs.
   4.0  19 | Listening...
   4.0  19 | 2018-05-29T06:46:54+0000 [-] Loading ./forwarder.py...
   4.0  19 | 2018-05-29T06:46:54+0000 [-] /etc/resolv.conf changed, reparsing
   4.0  19 | 2018-05-29T06:46:54+0000 [-] Resolver added ('100.64.0.10', 53) to server list
   4.0  19 | 2018-05-29T06:46:54+0000 [-] SOCKSv5Factory starting on 9050
   4.0  19 | 2018-05-29T06:46:54+0000 [socks.SOCKSv5Factory#info] Starting factory <socks.SOCKSv5Factory object at 0x7ff71a008c18>
   4.0  19 | 2018-05-29T06:46:54+0000 [-] DNSDatagramProtocol starting on 9053
   4.0  19 | 2018-05-29T06:46:54+0000 [-] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7ff71a008ef0>
   4.0  19 | 2018-05-29T06:46:54+0000 [-] Loaded.
   4.0  19 | 2018-05-29T06:46:54+0000 [twisted.scripts._twistd_unix.UnixAppLogger#info] twistd 18.4.0 (/usr/bin/python3.6 3.6.1) starting up.
